Country,Scenario Run,Run Date,Asset,Company1,Period,GTN,Price,Efficacy,S&T,Delivery,Barrier,Acceptability
JP,Esketamine,4/9/2018 15:40,N05C0 Tranquillisers,Not Specified,2014,0.82,0.75,1.4218038,0.7283518,0.561,0.741297662,1.2893518
JP,Esketamine,4/9/2018 15:40,N05C0 Tranquillisers,Not Specified,2015,0.82,0.75,1.4218038,0.7283518,0.561,0.741297662,1.2893518
JP,Esketamine,4/9/2018 15:40,N05C0 Tranquillisers,Not Specified,2016,0.82,0.75,1.4218038,0.7283518,0.561,0.741297662,1.2893518
JP,Esketamine,4/9/2018 15:40,N05C0 Tranquillisers,Not Specified,2017,0.82,0.75,1.4218038,0.7283518,0.561,0.741297662,1.2893518
JP,Esketamine,4/9/2018 15:40,N05C0 Tranquillisers,Not Specified,2018,0.82,0.75,1.4218038,0.7283518,0.561,0.741297662,1.2893518
JP,Esketamine,4/9/2018 15:40,N05C0 Tranquillisers,Not Specified,2019,0.82,0.75,1.4218038,0.7283518,0.561,0.741297662,1.2893518
JP,Esketamine,4/9/2018 15:40,N05C0 Tranquillisers,Not Specified,2020,0.82,0.75,1.4218038,0.7283518,0.561,0.741297662,1.2893518
JP,Esketamine,4/9/2018 15:40,N05C0 Tranquillisers,Not Specified,2021,0.82,0.75,1.4218038,0.7283518,0.561,0.741297662,1.2893518
JP,Esketamine,4/9/2018 15:40,N05C0 Tranquillisers,Not Specified,2022,0.82,0.75,1.4218038,0.7283518,0.561,0.741297662,1.2893518
JP,Esketamine,4/9/2018 15:40,N05C0 Tranquillisers,Not Specified,2023,0.82,0.75,1.4218038,0.7283518,0.561,0.741297662,1.2893518
JP,Esketamine,4/9/2018 15:40,N05C0 Tranquillisers,Not Specified,2024,0.82,0.75,1.4218038,0.7283518,0.561,0.741297662,1.2893518
JP,Esketamine,4/9/2018 15:40,N05C0 Tranquillisers,Not Specified,2025,0.82,0.75,1.4218038,0.7283518,0.561,0.741297662,1.2893518
JP,Esketamine,4/9/2018 15:40,N05C0 Tranquillisers,Not Specified,2026,0.82,0.75,1.4218038,0.7283518,0.561,0.741297662,1.2893518
JP,Esketamine,4/9/2018 15:40,N05C0 Tranquillisers,Not Specified,2027,0.82,0.75,1.4218038,0.7283518,0.561,0.741297662,1.2893518
JP,Esketamine,4/9/2018 15:40,N05C0 Tranquillisers,Not Specified,2028,0.82,0.75,1.4218038,0.7283518,0.561,0.741297662,1.2893518
JP,Esketamine,4/9/2018 15:40,N05C0 Tranquillisers,Not Specified,2029,0.82,0.75,1.4218038,0.7283518,0.561,0.741297662,1.2893518
JP,Esketamine,4/9/2018 15:40,N05C0 Tranquillisers,Not Specified,2030,0.82,0.75,1.4218038,0.7283518,0.561,0.741297662,1.2893518
JP,Esketamine,4/9/2018 15:40,N05C0 Tranquillisers,Not Specified,2031,0.82,0.75,1.4218038,0.7283518,0.561,0.741297662,1.2893518
JP,Esketamine,4/9/2018 15:40,N05C0 Tranquillisers,Not Specified,2032,0.82,0.75,1.4218038,0.7283518,0.561,0.741297662,1.2893518
JP,Esketamine,4/9/2018 15:40,N05C0 Tranquillisers,Not Specified,2033,0.82,0.75,1.4218038,0.7283518,0.561,0.741297662,1.2893518
JP,Esketamine,4/9/2018 15:40,N05C0 Tranquillisers,Not Specified,2034,0.82,0.75,1.4218038,0.7283518,0.561,0.741297662,1.2893518
JP,Esketamine,4/9/2018 15:40,N05C0 Tranquillisers,Not Specified,2035,0.82,0.75,1.4218038,0.7283518,0.561,0.741297662,1.2893518
JP,Esketamine,4/9/2018 15:40,N05C0 Tranquillisers,Not Specified,2036,0.82,0.75,1.4218038,0.7283518,0.561,0.741297662,1.2893518
JP,Esketamine,4/9/2018 15:40,N05C0 Tranquillisers,Not Specified,2037,0.82,0.75,1.4218038,0.7283518,0.561,0.741297662,1.2893518
JP,Esketamine,4/9/2018 15:40,N05C0 Tranquillisers,Not Specified,2038,0.82,0.75,1.4218038,0.7283518,0.561,0.741297662,1.2893518
JP,Esketamine,4/9/2018 15:40,N05C0 Tranquillisers,Not Specified,2039,0.82,0.75,1.4218038,0.7283518,0.561,0.741297662,1.2893518
JP,Esketamine,4/9/2018 15:40,N05C0 Tranquillisers,Not Specified,2040,0.82,0.75,1.4218038,0.7283518,0.561,0.741297662,1.2893518
JP,Esketamine,4/9/2018 15:40,"N06A9 Mirtazapine, …",Not Specified,2014,0.82,0.75,1.5698908,0.999733,0.461268741,0.741297662,1.461001741
JP,Esketamine,4/9/2018 15:40,"N06A9 Mirtazapine, …",Not Specified,2015,0.82,0.75,1.5698908,0.999733,0.461268741,0.741297662,1.461001741
JP,Esketamine,4/9/2018 15:40,"N06A9 Mirtazapine, …",Not Specified,2016,0.82,0.75,1.5698908,0.999733,0.461268741,0.741297662,1.461001741
JP,Esketamine,4/9/2018 15:40,"N06A9 Mirtazapine, …",Not Specified,2017,0.82,0.75,1.5698908,0.999733,0.461268741,0.741297662,1.461001741
JP,Esketamine,4/9/2018 15:40,"N06A9 Mirtazapine, …",Not Specified,2018,0.82,0.75,1.5698908,0.999733,0.461268741,0.741297662,1.461001741
JP,Esketamine,4/9/2018 15:40,"N06A9 Mirtazapine, …",Not Specified,2019,0.82,0.75,1.5698908,0.999733,0.461268741,0.741297662,1.461001741
JP,Esketamine,4/9/2018 15:40,"N06A9 Mirtazapine, …",Not Specified,2020,0.82,0.75,1.5698908,0.999733,0.461268741,0.741297662,1.461001741
JP,Esketamine,4/9/2018 15:40,"N06A9 Mirtazapine, …",Not Specified,2021,0.82,0.75,1.5698908,0.999733,0.461268741,0.741297662,1.461001741
JP,Esketamine,4/9/2018 15:40,"N06A9 Mirtazapine, …",Not Specified,2022,0.82,0.75,1.5698908,0.999733,0.461268741,0.741297662,1.461001741
JP,Esketamine,4/9/2018 15:40,"N06A9 Mirtazapine, …",Not Specified,2023,0.82,0.75,1.5698908,0.999733,0.461268741,0.741297662,1.461001741
JP,Esketamine,4/9/2018 15:40,"N06A9 Mirtazapine, …",Not Specified,2024,0.82,0.75,1.5698908,0.999733,0.461268741,0.741297662,1.461001741
JP,Esketamine,4/9/2018 15:40,"N06A9 Mirtazapine, …",Not Specified,2025,0.82,0.75,1.5698908,0.999733,0.461268741,0.741297662,1.461001741
